台北市信義區基隆路二段,大樓,2 房 2 廳 1 衛,20.2,35,18000000,房仲網
台北市信義區忠孝東路五段,公寓,2 房 2 廳 1 衛,21.63,42,18800000,房仲網
台北市信義區光復南路,大樓,2 房 1 廳 1 衛,19.37,32,20880000,房仲網
台北市信義區基隆路一段,大樓,0 房 1 廳 1 衛,20.42,41,36800000,房仲網
台北市信義區松平路,大樓,1 房 1 廳 1 衛,22.93,8,31660000,房仲網
台北市信義區信義路五段,大樓,1 房 0 廳 1 衛,10.11,6,11100000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,17.93,18,9900000,房仲網
台北市信義區中坡北路,大樓,1 房 2 廳 1 衛,23.39,30,20550000,房仲網
台北市信義區信義路六段,公寓,2 房 2 廳 1 衛,22.82,37,1650.00000,房仲網
台北市信義區忠孝東路五段,大樓,1 房 1 廳 1 衛,22.27,10,2300.00000,房仲網
台北市信義區松平路,大樓,1 房 1 廳 1 衛,22.92,8,3166.00000,房仲網
台北市信義區文昌街,公寓,0 房 1 廳 1 衛,12.54,13,1620.00000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,13,7,1780.00000,房仲網
台北市信義區吳興街,華廈,3 房 1 廳 1 衛,22.13,18,10880000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,13,7,18880000,房仲網
台北市信義區基隆路二段,大樓,2 房 2 廳 1 衛,16.29,32,14980000,房仲網
台北市信義區仁愛路四段,華廈,1 房 1 廳 1 衛,16.92,32,21800000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,17.93,19,1150.00000,房仲網
台北市信義區光復南路,大樓,2 房 2 廳 1 衛,19.36,32,18500000,房仲網
台北市信義區基隆路一段,大樓,1 房 1 廳 1 衛,12.22,9,17500000,房仲網
台北市信義區吳興街,大樓,1 房 1 廳 1 衛,13.1,21,11500000,房仲網
台北市信義區和平東路三段,公寓,3 房 2 廳 2 衛,22.84,36,18000000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,20.51,6,16800000,房仲網
台北市信義區忠孝東路五段,大樓,0 房 1 廳 1 衛,12.27,10,17880000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,14.8,8,18800000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,15.04,6,19000000,房仲網
台北市信義區忠孝東路五段,大樓,0 房 1 廳 1 衛,12.17,10,17990000,房仲網
台北市信義區光復南路,大樓,1 房 1 廳 1 衛,13,7,16300000,房仲網
台北市信義區基隆路一段,大樓,1 房 1 廳 1 衛,23.33,9,28000000,房仲網
台北市信義區吳興街,大樓,1 房 2 廳 1 衛,21.64,21,18800000,房仲網
台北市信義區信義路五段,大樓,1 房 1 廳 1 衛,10.11,6,11800000,房仲網
台北市信義區逸仙路,大樓,0 房 0 廳 1 衛,9.93,19,13800000,房仲網
台北市信義區和平東路三段,大樓,1 房 1 廳 1 衛,17.66,16,11500000,房仲網
台北市信義區吳興街,大樓,1 房 1 廳 2 衛,19.46,1,15600000,房仲網
台北市信義區忠孝東路五段,大樓,0 房 1 廳 2 衛,13.29,10,19800000,房仲網
台北市信義區忠孝東路五段,大樓,1 房 1 廳 1 衛,12.64,8,16800000,房仲網
台北市信義區忠孝東路五段,大樓,0 房 1 廳 1 衛,13.25,8,14500000,房仲網
台北市信義區松隆路,華廈,1 房 1 廳 1 衛,15.25,26,25000000,房仲網
